idx,isrc,jsrc,dsrc,qbar,lon,lat,py_col,py_row,face_mask,rho_recv,rho_send,lon_face,lat_face,status
54,168,198,0,1.00000,10.60100,34.57800,167,197,1.00000,1.00000,1.00000,10.61744,34.57450,mar_abierto
55,167,194,0,1.00000,10.59300,34.54000,166,193,1.00000,1.00000,1.00000,10.60181,34.52301,mar_abierto
56,147,185,1,-1.00000,10.28400,34.42900,146,184,1.00000,1.00000,1.00000,10.28150,34.41351,mar_abierto
57,136,148,0,1.00000,10.09300,33.92800,135,147,1.00000,1.00000,1.00000,10.11744,33.92869,mar_abierto
58,136,147,0,1.00000,10.09600,33.92100,135,146,1.00000,1.00000,1.00000,10.11744,33.91573,mar_abierto
59,176,131,0,1.00000,10.74300,33.72100,175,130,0.00000,1.00000,1.00000,10.74244,33.70799,valido
60,201,113,0,1.00000,11.11700,33.49100,200,112,1.00000,1.00000,1.00000,11.13306,33.47369,mar_abierto
61,146,388,0,1.00000,10.26400,37.00400,145,387,1.00000,1.00000,1.00000,10.27369,36.98282,mar_abierto
62,197,390,0,1.00000,11.05800,37.00900,196,389,1.00000,1.00000,1.00000,11.07056,37.00778,mar_abierto
63,178,344,0,1.00000,10.76800,36.45000,177,343,1.00000,1.00000,1.00000,10.77369,36.43161,mar_abierto
64,172,342,0,1.00000,10.68200,36.42500,171,341,1.00000,1.00000,1.00000,10.67994,36.40646,mar_abierto
65,183,287,0,1.00000,10.81900,35.72900,182,286,1.00000,1.00000,1.00000,10.85181,35.71169,mar_abierto
66,198,266,0,1.00000,11.03200,35.16100,197,265,1.00000,1.00000,1.00000,11.08619,35.44479,mar_abierto
67,194,233,0,1.00000,11.05400,35.16000,193,232,1.00000,1.00000,1.00000,11.02369,35.02360,mar_abierto
68,196,236,0,1.00000,10.92200,34.79900,195,235,1.00000,1.00000,1.00000,11.05494,35.06198,mar_abierto
69,168,198,0,1.00000,10.49300,34.51600,167,197,1.00000,1.00000,1.00000,10.61744,34.57450,mar_abierto
70,160,192,0,1.00000,10.58100,34.59600,159,191,1.00000,1.00000,1.00000,10.49244,34.49726,mar_abierto
71,208,206,0,1.00000,11.15800,34.73700,207,205,1.00000,1.00000,1.00000,11.24244,34.67736,mar_abierto
72,176,133,0,-1.00000,10.72900,33.76800,175,132,0.00000,1.00000,1.00000,10.74244,33.73399,valido
73,182,146,1,1.00000,10.83900,33.89200,181,145,1.00000,1.00000,1.00000,10.82838,33.90924,mar_abierto
74,191,131,0,1.00000,10.94100,33.69800,190,130,1.00000,1.00000,1.00000,10.97681,33.70799,mar_abierto
75,199,122,0,1.00000,11.07700,33.59500,198,121,1.00000,1.00000,1.00000,11.10181,33.59092,mar_abierto
76,201,113,0,1.00000,11.11500,33.47800,200,112,1.00000,1.00000,1.00000,11.13306,33.47369,mar_abierto
77,201,99,0,1.00000,11.06500,33.31500,200,98,1.00000,1.00000,1.00000,11.13306,33.29102,mar_abierto
